feature,descricao,coeficiente,relativity,ic_inf_95,ic_sup_95,p_valor,significante
smoker_yes,Fumante (vs não-fumante),1.5003301722805875,4.4831690441490215,4.092069539546128,4.911647879924669,1.0769205754739987e-227,True
children,Número de dependentes,0.0841722199557772,1.0878162213391265,1.0551961863875334,1.1214446627785082,6.004029039803127e-08,True
age,Idade (anos),0.02863793770900672,1.029051946113081,1.0263502736728443,1.0317607301936238,3.7948438328431583e-101,True
bmi,IMC,0.014123669472645388,1.0142238797153207,1.0078356335339507,1.0206526183023128,1.1811819166099676e-05,True
sex_male,Sexo masculino (vs feminino),-0.057077790883493164,0.9445205914173193,0.8775366813452102,1.0166175005285913,0.1283022009542995,False
region_northwest,Região Noroeste (vs Nordeste),-0.05787437835964761,0.9437684977371996,0.8495066114913137,1.0484897530785589,0.28103818092722044,False
region_southeast,Região Sudeste (vs Nordeste),-0.14163713322585247,0.867936144540188,0.7808312837688118,0.9647579018136864,0.008668221191812391,True
region_southwest,Região Sudoeste (vs Nordeste),-0.1454820390817624,0.864605419041735,0.7779653018761136,0.9608944368516015,0.006925463996589483,True
